depth,phi,theta
10840,32224,5967
10750,32261,6129
5344,32304,6284
13546,32345,6446
10754,32344,5969
10694,32387,6132
7983,32437,6288
13414,32483,6451
10684,32464,5972
5217,32514,6135
7984,32569,6293
13339,32621,6456
10585,32584,5974
5254,32641,6139
13131,32700,6296
13389,32758,6461
10511,32705,5978
5260,32768,6143
13213,32834,6301
13342,32896,6466
10492,32826,5981
7824,32894,6146
13111,32965,6305
13266,33034,6471
5127,32947,5984
0,33021,6150
13110,33097,6309
13205,33170,6475
5128,33067,5987
13045,33146,6153
13169,33229,6313
8149,33309,6479
5192,33187,5990
13000,33274,6158
13128,33361,6317
8106,33446,6483
7733,33309,5994
12919,33400,6161
13052,33493,6321
12999,33583,6487
7726,33429,5997
12900,33527,6165
13000,33626,6325
12947,33721,6492
12931,33551,6002
12981,33654,6169
8058,33758,6329
12876,33859,6496
12881,33672,6006
13008,33781,6174
8002,33889,6333
12849,33996,6499
12830,33793,6010
12958,33908,6177
8037,34021,6337
12809,34133,6503
12844,33913,6014
12921,34034,6182
12830,34154,6341
0,34270,6507
12763,34035,6019
12893,34161,6186
12819,34286,6345
10993,34408,6510
12829,34156,6023
12855,34289,6190
12799,34417,6349
10971,34545,6513
12895,34278,6028
7991,34416,6195
12782,34550,6353
12751,34682,6517
12950,34400,6033
7970,34543,6199
12780,34683,6357
12727,34819,6520
12891,34522,6038
8025,34670,6204
12792,34815,6360
12747,34957,6523
12884,34642,6043
12834,34797,6208
11073,34946,6363
12756,35092,6525
12912,34765,6048
12817,34924,6212
11030,35078,6368
12728,35229,6528
12895,34887,6054
12833,35052,6217
11031,35210,6371
12764,35366,6531
12901,35009,6059
12858,35179,6222
12831,35342,6374
12672,35504,6534
8049,35132,6065
12886,35307,6227
12506,35475,6378
11407,35640,6536
8053,35255,6071
12569,35435,6232
11466,35607,6382
10229,35776,6538
8099,35377,6077
11756,35563,6236
10187,35738,6385
12869,35913,6541
0,35498,6083
10588,35689,6241
9259,35870,6388
12940,49,6542
10946,35622,6090
9434,35817,6246
8498,3,6392
7880,185,6544
9940,35745,6095
8650,35945,6251
7853,135,6396
13181,322,6546
9011,35868,6102
7936,74,6256
13202,268,6399
13302,459,6549
8261,35993,6110
7395,202,6261
13279,400,6403
13346,596,6551
7684,116,6116
0,330,6266
13343,532,6406
13427,731,6552
7163,241,6124
6594,457,6271
13433,662,6409
13574,866,6553
6681,362,6129
13436,585,6276
13546,795,6413
5266,1001,6554
6371,487,6137
13514,713,6281
5271,927,6415
13793,1137,6555
13507,611,6144
13612,842,6287
13738,1058,6419
13891,1274,6557
13551,736,6152
5275,971,6292
13879,1191,6422
14052,1409,6558
13658,861,6159
13826,1100,6297
14000,1324,6426
14189,1544,6559
13791,986,6167
13946,1229,6303
14127,1455,6428
14360,1678,6559
13870,1110,6174
14083,1355,6307
14262,1586,6431
14532,1814,6560
13966,1235,6181
14184,1485,6313
4044,1717,6434
14704,1949,6560
14085,1361,6189
14354,1613,6318
14596,1850,6437
14888,2083,6561
14231,1486,6197
4048,1743,6324
14765,1982,6440
15071,2220,6561
14361,1613,6206
14639,1873,6330
14965,2115,6444
15136,2354,6562
4045,1739,6214
14813,2002,6336
15091,2246,6447
15515,2489,6562
14654,1865,6222
15072,2129,6340
15209,2377,6449
15776,2623,6562
14835,1990,6230
15093,2259,6346
15581,2508,6452
16035,2757,6562
3623,2118,6239
15236,2388,6351
15864,2641,6455
16322,2891,6562
15167,2244,6247
15637,2518,6357
16105,2772,6458
2893,3025,6562
15240,2372,6256
15880,2649,6363
16373,2906,6461
2845,3160,6562
15603,2500,6265
16096,2778,6369
2897,3037,6463
2780,3293,6561
15862,2627,6273
16356,2908,6375
2847,3168,6466
2720,3428,6561
16077,2754,6282
2886,3037,6380
2781,3299,6468
2654,3560,6560
16351,2881,6290
2852,3167,6385
2718,3431,6471
2601,3693,6560
16558,3010,6299
2785,3296,6391
2663,3562,6473
2545,3826,6559
2863,3138,6308
2729,3427,6397
2602,3693,6476
2503,3961,6559
2801,3268,6317
2671,3558,6403
2555,3825,6479
